品种,合约代码,结算价,开仓手续费,平仓手续费,短线开仓手续费,短线平仓手续费,手续费收取方式,投机买保证金率,投机卖保证金率,套保买保证金率,套保卖保证金率
豆一,a2007,,2,2,2,2,绝对值,20%,20%,20%,20%
豆一,a2009,,2,2,6,6,绝对值,9%,9%,8%,8%
豆一,a2011,,2,2,2,2,绝对值,9%,9%,8%,8%
豆一,a2101,,2,2,2,2,绝对值,9%,9%,8%,8%
豆一,a2103,,2,2,2,2,绝对值,9%,9%,8%,8%
豆一,a2105,,2,2,2,2,绝对值,9%,9%,8%,8%
豆二,b2007,,1,1,1,1,绝对值,20%,20%,20%,20%
豆二,b2008,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2009,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2010,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2011,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2012,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2101,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2102,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2103,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2104,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2105,,1,1,1,1,绝对值,8%,8%,7%,7%
豆二,b2106,,1,1,1,1,绝对值,8%,8%,7%,7%
胶合板,bb2007,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2008,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2009,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2010,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2011,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2012,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2101,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2102,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2103,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2104,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2105,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
胶合板,bb2106,,1,1,0.5,0.5,比例值,40%,40%,40%,40%
玉米,c2007,,0.2,0.2,0.1,0.1,绝对值,20%,20%,20%,20%
玉米,c2009,,1.2,1.2,0.6,0.6,绝对值,6%,6%,5%,5%
玉米,c2011,,0.2,0.2,0.1,0.1,绝对值,6%,6%,5%,5%
玉米,c2101,,1.2,1.2,0.6,0.6,绝对值,6%,6%,5%,5%
玉米,c2103,,0.2,0.2,0.1,0.1,绝对值,6%,6%,5%,5%
玉米,c2105,,1.2,1.2,0.6,0.6,绝对值,6%,6%,5%,5%
玉米淀粉,cs2007,,0.2,0.2,0.1,0.1,绝对值,20%,20%,20%,20%
玉米淀粉,cs2009,,1.5,1.5,0.75,0.75,绝对值,6%,6%,5%,5%
玉米淀粉,cs2011,,0.2,0.2,0.1,0.1,绝对值,6%,6%,5%,5%
玉米淀粉,cs2101,,1.5,1.5,0.75,0.75,绝对值,6%,6%,5%,5%
玉米淀粉,cs2103,,0.2,0.2,0.1,0.1,绝对值,6%,6%,5%,5%
玉米淀粉,cs2105,,1.5,1.5,0.75,0.75,绝对值,6%,6%,5%,5%
苯乙烯,eb2007,,0.3,0.3,0.3,0.3,绝对值,20%,20%,20%,20%
苯乙烯,eb2008,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2009,,3,3,3,3,绝对值,12%,12%,11%,11%
苯乙烯,eb2010,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2011,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2012,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2101,,3,3,3,3,绝对值,12%,12%,11%,11%
苯乙烯,eb2102,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2103,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2104,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
苯乙烯,eb2105,,3,3,3,3,绝对值,12%,12%,11%,11%
苯乙烯,eb2106,,0.3,0.3,0.3,0.3,绝对值,12%,12%,11%,11%
乙二醇,eg2007,,0.4,0.4,0.2,0.2,绝对值,20%,20%,20%,20%
乙二醇,eg2008,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2009,,4,4,2,2,绝对值,11%,11%,9%,9%
乙二醇,eg2010,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2011,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2012,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2101,,4,4,2,2,绝对值,11%,11%,9%,9%
乙二醇,eg2102,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2103,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2104,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
乙二醇,eg2105,,4,4,2,2,绝对值,11%,11%,9%,9%
乙二醇,eg2106,,0.4,0.4,0.2,0.2,绝对值,11%,11%,9%,9%
纤维板,fb2007,,1,1,1,1,比例值,20%,20%,20%,20%
纤维板,fb2008,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2009,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2010,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2011,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2012,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2101,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2102,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2103,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2104,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2105,,1,1,1,1,比例值,10%,10%,10%,10%
纤维板,fb2106,,1,1,1,1,比例值,10%,10%,10%,10%
铁矿石,i2007,,0.1,0.1,0.1,0.1,比例值,20%,20%,20%,20%
铁矿石,i2008,,0.1,0.1,0.1,0.1,比例值,11%,11%,10%,10%
铁矿石,i2009,,1,1,1,1,比例值,11%,11%,10%,10%
