合约代码,结算价,交易手续费率(‰),交易手续费额(元/手),交割手续费,投机买保证金率(%),投机卖保证金率(%),套保买保证金率(%),套保卖保证金率(%),平今折扣率(%),
cu2007,50540,0.050,0,0,20,20,20,20,0,
cu2008,50500,0.050,0,0,10,10,10,10,0,
cu2009,50450,0.050,0,0,10,10,10,10,0,
cu2010,50330,0.050,0,0,10,10,10,10,0,
cu2011,50210,0.050,0,0,10,10,10,10,0,
cu2012,50100,0.050,0,0,10,10,10,10,0,
cu2101,50010,0.050,0,0,10,10,10,10,0,
cu2102,50100,0.050,0,0,10,10,10,10,0,
cu2103,50100,0.050,0,0,10,10,10,10,0,
cu2104,50170,0.050,0,0,10,10,10,10,0,
cu2105,50140,0.050,0,0,10,10,10,10,0,
cu2106,50090,0.050,0,0,10,10,10,10,0,
al2007,14625,0.000,3,0,20,20,20,20,0,
al2008,14330,0.000,3,0,10,10,10,10,0,
al2009,14095,0.000,3,0,10,10,10,10,0,
al2010,13940,0.000,3,0,10,10,10,10,0,
al2011,13820,0.000,3,0,10,10,10,10,0,
al2012,13740,0.000,3,0,10,10,10,10,0,
al2101,13685,0.000,3,0,10,10,10,10,0,
al2102,13655,0.000,3,0,10,10,10,10,0,
al2103,13655,0.000,3,0,10,10,10,10,0,
al2104,13640,0.000,3,0,10,10,10,10,0,
al2105,13620,0.000,3,0,10,10,10,10,0,
al2106,13625,0.000,3,0,10,10,10,10,0,
zn2007,17610,0.000,3,0,20,20,20,20,0,
zn2008,17570,0.000,3,0,10,10,10,10,0,
zn2009,17540,0.000,3,0,10,10,10,10,0,
zn2010,17495,0.000,3,0,10,10,10,10,0,
zn2011,17450,0.000,3,0,10,10,10,10,0,
zn2012,17425,0.000,3,0,10,10,10,10,0,
zn2101,17395,0.000,3,0,10,10,10,10,0,
zn2102,17380,0.000,3,0,10,10,10,10,0,
zn2103,17355,0.000,3,0,10,10,10,10,0,
zn2104,17345,0.000,3,0,10,10,10,10,0,
zn2105,17320,0.000,3,0,10,10,10,10,0,
zn2106,17435,0.000,3,0,10,10,10,10,0,
pb2007,15510,0.040,0,0,20,20,20,20,0,
pb2008,15095,0.040,0,0,10,10,10,10,0,
pb2009,15000,0.040,0,0,10,10,10,10,0,
